
Time_us,Sample
3210552,1993
3213056,2050
3215556,2008
3217964,2000
3220540,2011
3222968,2019
3225552,2070
3228064,2019
3230556,2020
3233064,2021
3235564,2057
3238160,1967
3240652,1990
3243164,2003
3245656,2039
3248064,2055
3250560,2025
3253064,2055
3255564,2057
3258056,1998
3260560,2053
3263064,2028
3265660,2020
3268140,2001
3270560,2052
3273152,2010
3275560,2023
3278060,2011
3280560,2051
3283060,1997
3285560,1977
3288068,2050
3290560,2068
3293060,2061
3295556,2056
3298060,2083
3300556,2016
3302960,1981
3305464,1991
3307960,2058
3310460,2003
3313052,1978
3315460,2039
3318052,2009
3320556,2021
3323064,2047
3325556,2063
3328064,1994
3330564,2051
3333064,2000
3335656,2052
3338068,2027
3340564,2070
3343064,1995
3345656,2000
3348160,2022
3350668,1992
3353160,1990
3355668,2051
3358252,2104
3360760,2019
3363256,2019
3365756,1959
3368256,2008
3370756,2003
3373252,2037
3375660,1977
3378164,2023
3380660,2003
3383160,2063
3385752,2039
3388256,2010
3390752,2048
3393256,2023
3395764,1973
3398256,2033
3400764,1975
3403340,2030
3405860,1992
3408364,1975
3410864,2024
3413364,1994
3415856,2090
3418356,1945
3420764,2016
3423360,2021
3425860,2040
3428452,2058
3430864,2063
3433356,1985
3435864,2054
3438356,2009
3440940,2026
3443452,2013
3445964,2065
3448456,2074
3450960,2032
3453464,2032
3455964,1990
3458464,2007
3461052,2037
3463560,2024
3466064,2047
3468564,2039
3471052,2019
3473552,2051
3475960,2038
3478460,2036
3480960,2035
3483464,2078
3485960,2015
3488460,2021
3491052,2113
3493556,2069
3496064,2051
3498556,2086
3501064,2052
3503652,2039
3506060,1996
3508656,1997
3511064,2036
3513560,2051
3516056,2043
3518556,2051
3521060,2053
3523560,2040
3526060,2028
3528560,2051
3531056,1984
3533556,2012
3536064,2058
3538564,2016
3541060,1999
3543564,1994
3546140,2003
3548660,2016
3551140,1979
3553660,2045
3556164,2015
3558660,2078
3561164,2015
3563660,1981
3566152,2060
3568664,2025
3571156,2002
3573660,2065
3576252,2070
3578760,1967
3581260,1993
3583760,2009
3586260,2044
3588752,2051
3591160,1962
3593752,1983
3596256,2004
3598756,1993
3601256,2026
3603840,2014
3606352,2008
3608852,1983
3611356,2051
3613856,2020
3616268,2024
3618856,2018
3621360,1961
3623860,1989
3626360,2013
3628860,2057
3631452,2007
3633960,2021
3636456,2005
3638868,1969
3641460,2060
3643952,1990
3646456,2059
3648956,2064
3651364,1991
3653860,2025
3656364,2030
3658956,2042
3661364,2004
3663956,2015
3666460,2070
3668952,1995
3671464,2024
3673956,2014
3676452,2028
3678864,2038
3681456,2090
3683960,2043
3686440,2023
3688864,2046
3691364,1989
3693956,2042
3696460,2080
3698956,1979
3701460,2043
3703956,2021
3706460,2089
3709052,2050
3711464,2003
3713956,2022
3716464,2019
3718964,2001
3721464,2030
3723964,2047
3726464,2014
3729040,1996
3731464,2034
3734040,1999
3736460,2057
3739052,2065
3741556,2023
3744056,2004
3746556,2037
3749056,2075
3751540,2037
3754060,2019
3756556,2041
3758964,1988
3761464,2019
3764052,2014
3766552,2033
3769056,1976
3771564,2027
3774060,1973
3776568,1999
3779152,2077
3781664,1988
3784156,1996
3786660,1986
3789252,2008
3791660,2040
3794252,2064
3796760,2037
3799256,2046
3801760,2020
3804260,2034
3806764,2017
3809256,2026
3811764,2024
3814352,2035
3816864,2056
3819356,2013
3821952,2056
3824456,2023
3826956,1984
3829460,2074
3831960,2015
3834464,1986
3836964,2033
3839552,2025
3841968,2013
3844560,2052
3847060,2036
3849560,2039
3852060,2052
3854560,2009
3857060,2007
3859652,2057
3862060,2010
3864564,2060
3867156,1989
3869568,2011
3872064,2026
3874568,2046
3877064,2015
3879652,1997
3882152,1992
3884564,2054
3887156,2066
3889660,2008
3892164,2072
3894664,1971
3897164,2040
3899664,2009
3902168,1995
3904740,2009
3907252,2028
3909764,1991
3912256,2027
3914764,1963
3917352,2040
3919760,1985
3922356,2005
3924860,2039
3927356,1985
3929860,1990
3932452,2066
3934956,2007
3937468,2044
3939956,2052
3942464,2005
3945040,2033
3947456,2053
3950040,2045
3952556,2031
3955052,2042
3957560,2016
3960056,2007
3962560,2048
3965060,2076
3967564,2020
3970064,1980
3972564,1961
3975152,1999
3977660,1957
3980152,2018
3982656,2021
3985064,1989
3987660,1981
3990164,2164
3992660,2021
3995164,2076
3997760,2004
4000264,2027
4002752,1982
4005260,2050
4007752,1982
4010252,1992
4012660,1987
4015252,2034
4017660,2004
4020160,2024
4022752,1975
4025256,1975
4027756,2032
4030164,2051
4032760,2032
4035240,2007
4037664,2012
4040164,2028
4042756,1982
4045164,2003
4047752,2080
4050252,2014
4052660,2018
4055240,2035
4057756,2063
4060264,1985
4062756,2069
4065260,2081
4067852,2026
4070264,2078
4072856,1997
4075268,2043
4077764,2039
4080352,2055
4082852,2038
4085356,1984
4087864,2068
4090360,2078
4092864,2063
4095456,2010
4097960,2021
4100456,2007
4102956,2035
4105464,2028
4107964,2075
4110552,1994
4112964,2071
4115552,2010
4117964,2057
4120464,1994
4123056,2076
4125464,2004
4127964,2048
4130456,1991
4132964,1988
4135456,2058
4137956,2024
4140468,2054
4143052,2009
4145560,1997
4148064,2033
4150564,2011
4153064,2041
4155560,1991
4158064,1980
4160560,1997
4163060,2037
4165564,1976
4168060,1989
4170560,2018
4173152,2062
4175656,2082
4178152,2039
4180560,2038
4183064,1990
4185652,1999
4188056,2019
4190568,1990
4193152,2057
4195652,2072
4198156,2082
4200656,2062
4203064,2017
4205656,2041
4208064,2063
4210652,1972
4213160,2018
4215660,2036
4218160,1986
4220664,2030
4223256,1981
4225668,2036
4228260,2035
4230760,2052
4233352,2029
4235764,1994
4238256,2022
4240768,2011
4243352,2003
4245852,2043
4248260,2091
4250764,2043
4253352,2061
4255852,2002
4258356,1989
4260860,1998
4263356,2033
4265856,1996
4268364,2063
4270952,2010
4273440,1955
4275856,2015
4278364,1978
4280952,1991
4283360,2007
4285952,2020
4288360,2021
4290952,1995
4293460,2025
4295956,2063
4298460,1997
4300960,1995
4303368,2062
4305960,2036
4308460,2067
4310964,2018
4313464,2039
4316052,2074
4318552,2002
4321056,2077
4323556,2085
4325964,1984
4328464,2004
4330964,1964
4333552,2034
4336060,2065
4338564,2081
4341064,2033
4343564,2055
4346064,1970
4348568,1997
4351160,1988
4353656,2015
4356160,1972
4358652,2034
4361156,2064
4363664,2075
4366156,1944
4368652,1955
4371064,2061
4373656,1994
4376160,2063
4378752,2039
4381160,2026
4383664,2064
4386164,1969
4388752,1977
4391252,2023
4393756,2054
4396256,2022
